,Intensidad,Magnitud,GAP
227,1.0,4.3,70.0
228,1.0,4.3,55.0
229,1.0,4.3,68.0
230,2.0,4.3,46.0
231,1.0,4.3,167.0
232,1.0,4.3,151.0
233,1.0,4.3,146.0
234,1.0,4.3,53.0
235,1.0,4.3,80.0
236,3.9,4.3,42.7
237,2.0,4.8,30.0
238,2.2,4.8,49.0
239,3.4,4.8,35.0
240,3.4,4.8,34.0
241,3.4,4.8,40.0
242,3.4,4.8,36.0
243,3.8,4.8,29.7
244,3.0,4.8,46.3
245,3.6,4.8,47.0
246,4.6,5.3,30.0
247,5.7,5.3,33.4
248,5.1,5.3,34.1
249,1.0,4.1,120.0
250,1.0,4.1,112.0
251,2.7,4.1,76.0
252,1.0,4.1,67.0
253,1.0,4.1,69.0
254,1.0,4.1,94.0
255,1.0,4.1,70.0
256,1.0,4.1,66.0
257,2.2,4.6,35.0
258,4.1,4.6,41.0
259,4.9,4.6,47.0
260,3.1,4.6,59.0
261,3.4,4.6,48.0
262,4.3,4.6,60.0
263,1.0,4.6,155.0
264,3.4,4.6,41.0
265,2.7,4.6,36.0
266,2.9,4.6,40.0
267,2.8,4.6,47.0
268,3.1,4.6,40.0
269,2.7,4.6,46.7
270,2.2,4.6,43.0
271,4.3,5.1,30.0
272,3.8,5.1,33.0
273,4.8,5.1,30.2
274,4.6,5.1,46.7
275,5.3,4.4,32.0
276,1.0,4.4,53.0
277,2.0,4.4,43.0
278,2.2,4.4,42.0
279,2.0,4.4,76.0
280,2.0,4.4,65.0
281,3.1,4.4,72.0
282,1.0,4.4,107.0
283,1.0,4.4,30.0
284,3.4,4.4,38.0
285,1.0,4.4,80.0
286,1.0,4.4,47.0
287,1.0,4.4,49.0
288,1.0,4.4,42.0
289,1.0,4.4,42.0
290,1.0,4.4,41.0
291,1.0,4.4,80.0
292,3.4,4.4,68.0
293,3.4,4.4,122.8
294,2.7,4.4,43.0
295,4.3,4.9,43.0
296,2.0,4.9,52.0
297,3.4,4.9,26.0
298,3.8,4.9,41.0
299,3.7,4.9,75.0
300,4.8,4.9,35.0
301,3.6,4.9,29.0
302,2.2,4.9,38.0
303,3.1,4.9,66.0
304,3.4,4.9,33.7
305,2.2,4.9,28.6
306,6.1,5.4,43.0
307,5.4,5.4,47.0
308,5.0,5.4,46.6
309,3.4,4.2,62.0
310,2.0,4.2,83.0
311,2.0,4.2,65.0
312,1.0,4.2,81.0
313,1.0,4.2,149.0
314,1.0,4.2,42.0
315,1.0,4.2,41.0
316,1.0,4.2,52.0
317,1.0,4.2,109.0
318,1.0,4.2,85.0
319,1.0,4.2,80.0
320,1.0,4.2,58.0
321,1.0,4.2,176.0
322,1.0,4.2,81.0
323,4.3,4.7,30.0
324,3.1,4.7,47.0
325,3.4,4.7,60.0
326,3.4,4.7,35.0
327,3.1,4.7,64.0
328,2.2,4.7,43.0
329,3.8,4.7,64.0
330,4.1,4.7,39.0
331,3.6,4.7,37.0
332,3.1,4.7,43.0
333,2.2,4.7,37.0
334,1.0,4.7,42.0
335,1.0,4.7,70.0
336,1.0,4.7,86.0
337,3.8,4.7,46.0
338,4.1,4.7,33.8
339,4.8,4.7,46.7
340,4.1,5.2,37.0
341,4.1,5.2,62.0
342,6.4,5.2,23.0
343,4.2,5.2,39.0
344,5.9,6.2,13.0
345,2.0,4.3,68.0
346,4.6,5.1,35.0
347,1.0,4.4,61.0
348,1.0,4.4,51.0
349,3.4,4.9,68.0
350,2.5,4.9,42.0
351,6.1,4.7,41.0
352,2.0,5.2,23.0
353,2.7,3.8,153.0
354,5.9,5.9,26.4
355,3.8,4.0,72.0
356,2.2,4.0,87.0
357,1.0,4.2,69.0
358,2.0,4.2,74.0
359,3.1,4.7,57.0
360,2.6,5.2,42.0
361,6.0,6.1,20.0
362,2.2,4.5,146.0
363,3.1,4.5,93.0
364,3.1,4.5,80.0
365,3.9,4.5,86.8
366,4.3,4.5,64.6
367,3.4,4.5,81.7
368,3.1,4.5,64.0
369,6.0,5.0,52.0
370,2.2,5.0,55.0
371,2.7,5.0,63.0
372,6.0,5.0,52.4
373,3.1,4.3,53.0
374,3.0,4.3,56.0
375,3.1,4.3,98.0
376,4.1,4.8,52.0
377,3.9,4.8,64.0
378,4.3,4.8,69.0
379,2.2,4.6,81.0
380,2.0,4.6,105.0
381,3.8,4.6,91.0
382,3.4,4.6,33.0
383,3.4,4.6,66.4
384,4.6,4.6,91.6
385,3.2,4.6,61.0
386,2.0,4.4,109.0
387,2.0,4.4,93.0
388,3.4,4.4,78.0
389,3.1,4.4,84.0
390,3.8,4.9,72.0
391,4.4,4.9,86.0
392,4.8,4.9,53.3
393,5.4,4.9,52.5
394,2.0,4.7,77.0
395,4.8,4.7,55.5
396,4.1,4.6,33.0
397,4.9,4.4,37.0
398,2.0,4.5,45.0
399,3.1,6.0,25.0
400,3.9,5.3,47.0
401,2.0,4.6,36.0
402,2.9,4.4,34.0
403,2.0,4.9,28.0
404,6.2,6.3,14.0
405,7.5,5.1,104.5
406,2.0,5.1,31.8
407,2.0,4.4,44.0
408,2.5,5.2,23.0
409,1.0,4.0,72.0
410,1.0,4.5,57.0
411,1.0,4.8,80.0
412,1.0,4.1,56.0
413,1.0,4.7,53.0
414,4.3,6.1,28.0
415,4.1,4.7,72.1
416,2.2,4.1,66.0
417,2.2,4.7,65.6
418,2.7,4.0,85.0
419,2.7,5.5,42.2
420,2.7,4.1,64.0
421,2.7,4.4,34.0
422,2.7,5.2,55.0
423,3.1,5.3,24.0
424,6.1,4.5,52.0
425,4.5,4.6,42.0
426,3.2,4.2,90.0
427,2.5,3.7,96.0
428,1.0,4.0,57.0
429,1.0,4.2,43.0
430,3.4,4.5,63.0
431,4.3,4.5,65.0
432,4.8,5.1,70.6
433,4.8,5.2,39.0
434,5.3,5.1,59.5
435,3.4,3.9,124.0
436,6.3,4.5,94.0
437,7.5,6.3,25.0
438,2.5,4.9,80.0
439,5.0,5.3,61.0
440,5.0,4.9,96.0
441,1.0,4.5,130.0
442,1.0,4.5,101.0
443,1.0,4.5,67.0
444,1.0,4.3,84.0
445,1.0,4.9,54.0
446,1.0,4.2,100.0
447,3.4,4.9,55.0
448,3.8,5.0,89.0
449,3.8,5.1,47.0
450,3.8,5.2,31.0
451,4.1,5.0,59.0
452,4.6,4.5,84.0
453,2.2,4.8,31.6
454,2.7,4.3,73.8
455,5.4,5.5,57.0
456,3.1,4.9,57.0
457,3.1,4.7,101.0
458,3.1,4.7,104.4
459,2.0,4.9,23.0
460,1.0,4.0,71.0
461,1.0,4.5,59.0
462,1.0,4.3,60.0
463,1.0,4.3,48.0
464,1.0,4.3,67.0
465,1.0,4.4,52.0
466,3.8,4.5,56.0
467,3.8,4.8,70.0
468,3.8,4.6,61.0
469,4.1,4.2,103.0
470,3.6,4.4,113.0
471,1.0,4.0,121.0
472,1.0,4.3,119.0
473,1.0,4.3,82.0
474,1.0,4.3,52.0
475,3.4,4.9,60.0
476,3.4,4.7,106.6
477,4.3,5.5,36.4
478,4.3,5.1,55.5
479,5.3,6.2,64.1
480,2.2,4.6,99.0
481,2.2,4.7,102.0
482,2.7,4.5,96.0
483,2.7,4.5,122.0
484,2.7,4.9,116.0
485,3.6,4.8,124.0
486,3.5,4.5,78.0
487,4.7,4.5,107.7
488,2.8,5.0,103.3
489,6.1,5.5,62.0
490,6.3,5.5,63.0
491,5.8,6.0,57.0
492,7.7,6.0,20.2
493,4.0,4.8,89.0
494,2.6,4.8,130.0
495,4.4,5.3,29.0
496,4.9,5.3,26.0
497,3.0,5.3,104.5
498,6.2,5.8,40.0
499,2.8,5.8,31.0
500,3.2,4.6,115.0
501,2.8,4.6,112.3
502,4.0,4.6,96.2
503,4.5,5.1,28.0
504,5.2,5.1,54.4
505,4.5,5.6,100.0
506,2.8,4.4,162.0
507,2.4,4.4,161.0
508,4.7,4.4,142.0
509,4.9,4.9,91.0
510,6.8,4.9,54.0
511,4.7,4.9,84.6
512,2.4,4.9,69.5
513,2.8,4.7,68.0
514,5.5,4.7,106.5
515,5.2,5.2,97.2
516,4.5,5.7,61.0
517,5.8,5.7,23.9
518,0.0,4.4,127.0
519,2.0,4.5,106.0
520,2.0,5.0,133.0
521,2.0,4.3,172.0
522,2.0,4.3,112.0
523,2.0,4.3,129.0
524,2.0,4.8,103.0
525,2.0,4.8,86.0
526,2.0,4.8,117.0
527,2.0,4.8,108.0
528,2.0,4.8,109.8
529,2.0,4.8,94.4
530,2.0,5.3,28.0
531,2.0,5.8,15.0
532,2.0,4.1,168.0
533,2.0,4.6,46.0
534,2.0,4.6,137.0
535,2.0,4.6,113.0
536,2.0,4.4,84.0
537,2.0,4.4,81.0
538,2.0,4.4,121.0
539,2.0,4.4,155.0
540,2.0,4.9,114.0
541,2.0,4.9,125.0
542,2.0,4.9,51.0
543,2.0,4.9,128.0
544,2.0,4.9,120.0
545,2.0,4.9,59.0
546,2.0,5.4,30.0
547,2.0,5.4,46.0
548,2.0,4.7,110.0
549,2.0,4.7,75.0
550,2.0,4.7,144.0
551,2.0,4.7,79.0
552,2.0,5.2,32.0
553,2.0,5.2,64.0
554,2.0,5.2,42.0
555,2.0,4.6,127.0
556,2.5,4.5,126.0
557,2.5,4.4,122.0
558,2.5,4.7,97.0
559,5.0,5.5,50.6
560,5.0,5.8,23.6
561,5.0,4.9,46.5
562,5.0,5.2,41.7
563,5.0,5.2,54.2
564,6.0,5.1,65.0
565,6.0,5.9,29.0
566,6.0,5.2,18.0
567,6.0,6.2,15.4
568,1.0,4.0,131.0
569,1.0,4.0,145.0
570,1.0,4.0,180.0
571,1.0,4.5,114.0
572,1.0,4.5,85.0
573,1.0,4.5,53.0
574,1.0,4.5,144.0
575,1.0,4.5,121.0
576,1.0,4.5,98.0
577,1.0,4.5,117.0
578,1.0,4.5,128.0
579,1.0,4.5,83.0
580,1.0,4.5,134.0
581,1.0,4.5,125.0
582,1.0,4.5,116.0
583,1.0,4.5,84.0
584,1.0,4.5,138.0
585,1.0,4.5,117.0
586,1.0,4.5,101.0
587,1.0,4.5,115.0
588,1.0,4.5,105.0
589,1.0,4.5,124.0
590,1.0,4.5,120.0
591,1.0,4.5,121.0
592,1.0,4.5,125.0
593,1.0,4.5,124.0
594,1.0,4.5,127.0
595,1.0,4.5,169.0
596,1.0,4.5,119.0
597,1.0,4.5,124.0
598,1.0,4.5,125.0
599,1.0,4.5,133.0
600,1.0,4.5,124.0
601,1.0,4.5,143.0
602,1.0,4.5,140.0
603,1.0,4.5,100.0
604,1.0,4.5,100.0
605,1.0,4.5,157.0
606,1.0,4.5,121.0
607,1.0,4.5,135.0
608,1.0,4.5,121.0
609,1.0,5.0,94.0
610,1.0,5.0,110.0
611,1.0,5.0,63.0
612,1.0,5.0,88.0
613,1.0,5.0,51.0
614,1.0,5.5,54.0
615,1.0,5.5,29.0
616,1.0,6.0,19.0
617,1.0,6.0,30.0
618,1.0,4.3,126.0
619,1.0,4.3,118.0
620,1.0,4.3,153.0
621,1.0,4.3,151.0
622,1.0,4.3,159.0
623,1.0,4.3,135.0
624,1.0,4.3,145.0
625,1.0,4.3,161.0
626,1.0,4.3,130.0
627,1.0,4.3,118.0
628,1.0,4.3,110.0
629,1.0,4.3,136.0
630,1.0,4.3,169.0
631,1.0,4.3,116.0
632,1.0,4.3,125.0
633,1.0,4.3,160.0
634,1.0,4.3,135.0
635,1.0,4.3,110.0
636,1.0,4.3,143.0
637,1.0,4.3,137.0
638,1.0,4.3,180.0
639,1.0,4.3,159.0
640,1.0,4.8,72.0
641,1.0,4.8,137.0
642,1.0,4.8,97.0
643,1.0,4.8,144.0
644,1.0,4.8,100.0
645,1.0,4.8,121.0
646,1.0,4.8,93.0
647,1.0,4.8,119.0
648,1.0,4.8,91.0
649,1.0,4.8,151.0
650,1.0,4.8,59.0
651,1.0,4.8,118.0
652,1.0,4.8,106.0
653,1.0,4.8,105.0
654,1.0,5.3,39.0
655,1.0,5.3,28.0
656,1.0,5.3,40.0
657,1.0,5.8,41.0
658,1.0,4.1,163.0
659,1.0,4.1,134.0
660,1.0,4.1,132.0
661,1.0,4.1,163.0
662,1.0,4.1,147.0
663,1.0,4.1,172.0
664,1.0,4.1,125.0
665,1.0,4.6,117.0
666,1.0,4.6,127.0
667,1.0,4.6,117.0
668,1.0,4.6,132.0
669,1.0,4.6,103.0
670,1.0,4.6,149.0
671,1.0,4.6,50.0
672,1.0,4.6,70.0
673,1.0,4.6,106.0
674,1.0,4.6,127.0
675,1.0,4.6,45.0
676,1.0,4.6,138.0
677,1.0,4.6,130.0
678,1.0,4.6,137.0
679,1.0,4.6,113.0
680,1.0,4.6,133.0
681,1.0,4.6,136.0
682,1.0,4.6,110.0
683,1.0,4.6,126.0
684,1.0,4.6,109.0
685,1.0,4.6,104.0
686,1.0,4.6,116.0
687,1.0,4.6,105.0
688,1.0,4.6,135.0
689,1.0,4.6,125.0
690,1.0,4.6,169.0
691,1.0,4.6,114.0
692,1.0,4.6,62.0
693,1.0,4.6,144.0
694,1.0,4.6,128.0
695,1.0,4.6,66.0
696,1.0,4.6,154.0
